整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),錳(mg),維生素A總量(IU),視網醇當量(RE)(ug),視網醇(ug),α-胡蘿蔔素(ug),β-胡蘿蔔素(ug),維生素D總量(IU),維生素D總量(ug),維生素D2(ug),維生素D3(ug),維生素E總量(mg),α-維生素E當量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),維生素K1(ug),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕櫚酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M總量(mg),肉豆蔻烯酸(14:1)(mg),棕櫚烯酸(16:1)(mg),油酸(18:1)(mg),鱈烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),P/M/S,反式脂肪(mg),水解胺基酸總量(mg),天門冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),絲胺酸(Ser)(mg),麩胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),纈胺酸(Val)(mg),甲硫胺酸(Met)(mg),異白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),離胺酸(Lys)(mg),組胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),膽固醇(mg),酒精含量(g)
A0100101,穀物類,大麥仁,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎","小薏仁,洋薏仁,珍珠薏仁",0.0,364.6228,346.6895,11.6693,8.5578,1.5935,0.4673,1.0376,77.1418,8.4591,0.425,0.0,0.0395,0.0,0.036,0.3495,0.0,12.6115,249.1658,25.88,54.4337,1.7745,1.228,164.6799,0.2199,0.8079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0361,0.4737,0.4043,0.0175,0.6033,0.011,0.0,0.0,0.0,0.1663,0.0323,3.3286,0.1827,0.0,49.5718,0.15,467.2524439999999,0.0,0.0,0.1960005,0.12269949999999999,0.35057,0.0,3.9694084999999997,0.31869999999999993,422.5069639999999,0.3712855,31.815820999999993,0.0,1.0198399999999999,2.7886249999999992,3.7925299999999997,165.07703899999998,0.0,0.5051395,155.764625,2.1623794999999997,6.644895,945.515973,890.5752799999999,54.940692999999996,0.0,0.0,0.0,0.0,0.0,15.6402025,5.73/1.00/2.83,0.0,8156.6088,463.7988,274.6759,360.6256,2167.909,1012.5137,327.7378,318.6324,225.0715,404.8026,66.2403,283.7671,587.3824,244.5697,422.8116,288.1291,233.3535,381.1231,93.4647,0.0,
A0110101,穀物類,大麥片,樣品狀態:生; 前處理描述:混合均勻打碎,,,364.6155,351.8982,12.09,8.636,1.79,0.4558,0.8174,76.6666,5.9987,,,,,,,,7.185,245.965,12.665,55.185,2.245,0.826,129.095,,,0.0,0.0,,0.0,0.0,,,,,0.26,0.1334,0.1075,0.0275,0.12,0.005,,,,0.149,0.035,3.225,0.1826,,27.7,9.82,455.78233000000006,0.0,0.0,0.0,0.0,0.0,0.0,5.23396,0.0,404.3484700000001,0.0,34.79223,0.0,5.35031,6.057359999999999,0.0,307.78155000000004,0.0,0.0,260.46827,13.66665,33.646629999999995,1026.4271700000002,963.1649900000001,63.26218,0.0,0.0,0.0,0.0,0.0,0.0,3.33/1.00/1.48,,9031.1136,474.465,287.615,358.73,2386.275,1259.435,332.05,334.775,351.4586,427.17,106.265,330.845,653.915,276.395,473.57,311.6,200.565,422.145,43.84,,
A0120101,穀物類,大麥仁粉,樣品狀態:烘烤過; 前處理描述:混合均勻,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",,388.8475,373.5733,5.733,7.118,1.3142,0.3678,0.8794,84.9554,7.2048,0.0,0.0,0.0,,0.0,0.0,0.0,9.83,307.271,25.2358,49.8125,1.145,1.333,165.699,,,0.0,0.0,,,0.0,,,,,0.115,0.0831,0.072,0.017,0.026,0.0,,,,0.09,0.031,2.853,0.229,,44.673,0.0,367.84458,0.0,0.5125379999999999,2.2341400000000005,2.36556,10.382180000000002,0.0,9.711938,1.1170700000000002,303.488206,1.287916,29.162097999999997,0.0,3.338068,4.244866000000001,0.0,220.85130999999998,0.0,2.155288,193.870784,7.0703960000000015,17.754842,725.5303940000001,683.58113,41.949264,0.0,0.0,0.0,0.0,0.0,0.0,3.29/1.00/1.67,,8331.888,495.276,272.268,357.74,2374.592,910.37,325.656,318.661,148.363,431.049,116.97,319.158,640.176,251.366,431.829,269.083,183.864,346.547,138.92,,
A0200101,穀物類,小米,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,370.1938,365.4819,12.26,11.3135,3.655,0.4416,1.0808,71.6907,2.2226,,,,,,,,1.0,201.92,4.795,107.75,2.89,2.2825,164.29,,,0.0,0.0,,0.0,0.0,,,,,1.445,0.1971,0.075,0.03,0.955,0.385,,,,0.455,0.11,4.145,0.3249,,45.15,0.15,441.60075499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.75338500000004,0.0,61.919354999999996,0.0,22.47825,14.817369999999999,10.632394999999999,826.41743,0.0,0.0,806.143145,20.274284999999995,0.0,2386.9671949999997,2352.076565,34.89063,0.0,0.0,0.0,0.0,0.0,0.0,5.41/1.87/1.00,,10268.3401,656.63,311.17,631.17,2199.3,1231.605,236.17,1103.65,264.8201,461.765,231.605,403.275,771.795,366.83,545.75,146.685,214.705,330.945,160.47,,
A0200201,穀物類,糯小米,樣品狀態:生; 前處理描述:混合均勻磨碎,,,360.1972,357.167,12.864,12.465,1.5164,0.2565,0.6384,72.5162,1.4293,0.0,0.0,0.0,,0.0,0.0,0.0,1.206,142.4715,8.598,47.8325,2.2355,2.0345,107.5975,,,95.627,9.565,,0.0,57.3785,,,,,0.584,0.0731,0.0285,0.01,0.3325,0.213,,,,0.168,0.0597,2.1692,0.1932,,28.4795,0.5,256.5172568,0.0,0.0,0.0,0.0,0.0,0.0,0.470084,0.0,200.27701359999998,0.48524799999999996,35.248718,0.0,10.243281999999999,7.139211199999999,2.6537,341.2339756,0.0,2.2564032,333.2501296,5.7274427999999995,0.0,918.248438,900.7658624000001,17.4825756,0.0,0.0,0.0,0.0,0.0,0.40184600000000004,3.58/1.33/1.00,,11037.031,683.767,293.486,718.9165,2638.706,390.1545,111.7635,1392.836,226.668,505.9465,132.8125,479.274,1615.3075,398.627,638.314,127.381,233.068,270.7245,179.2785,,
A0300101,穀物類,小麥,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,361.6418,337.7443,12.63,14.118,2.565,0.4667,1.5192,69.1678,11.2724,,,,,,,,1.37,364.35,18.875,137.285,3.39,2.998,240.805,,,0.0,0.0,,0.0,0.0,,,,,3.495,1.7096,1.27,0.555,1.6,0.07,,,,0.411,0.095,5.39,0.2655,,73.3,5.115,466.7197049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.63109,0.0,26.088614999999997,0.0,0.0,0.0,0.0,458.08078499999993,0.0,0.0,436.78871999999996,21.292064999999997,0.0,1640.1969450000001,1526.32377,113.87317499999999,0.0,0.0,0.0,0.0,0.0,0.0,3.58/1.00/1.02,,15029.4295,711.15,426.415,689.815,4739.325,1899.33,606.19,501.73,574.2395,588.265,184.92,493.165,1023.88,456.78,710.825,396.9,357.175,669.325,0.0,,
A0310101,穀物類,小麥胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,,,417.0033,395.8457,4.23,31.362,11.585,1.7347,4.9076,47.9154,9.98,,,,,,,,3.115,986.125,44.98,333.04,6.005,14.946,1172.745,,,29.0322,2.9039,,0.0,17.42,,,,,19.13,16.081,13.2,5.72,0.21,0.0,,,,2.437,0.5195,4.0205,1.4018,,329.295,0.0,1734.7379,0.0,0.0,0.0,0.0,0.0,0.0,10.113705000000003,0.0,1669.23631,0.0,50.869735,0.0,0.0,0.0,4.51815,1869.5062050000001,0.0,0.0,1716.954925,152.55128000000002,0.0,7989.583665,7141.17936,848.404305,0.0,0.0,0.0,0.0,0.0,0.0,4.61/1.08/1.00,,28887.0439,2779.39,1234.72,1306.79,4479.275,1400.13,1841.925,1953.355,1411.5389,1472.785,393.06,991.185,1994.645,832.6,1080.48,1995.715,778.77,2619.56,321.12,,
A0320101,穀物類,去筋麵粉,前處理描述:混合均勻,澄粉,,354.9493,353.9987,13.643,0.181,0.1165,0.0,0.3152,85.7443,0.4484,0.0,0.0,0.0,,0.0,0.0,0.0,28.606,9.027,6.5847,2.3713,0.0,0.0,38.2861,,,0.0,0.0,,,0.0,,,,,0.039,0.0201,0.018,0.0,0.021,0.0,,,,0.01,0.0,0.097,0.023,,17.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
A0320202,穀物類,低筋麵粉,前處理描述:混合均勻,,,363.6075,359.4091,12.045,8.0855,1.175,0.2458,0.5007,78.1938,1.9804,,,,,,,,1.43,147.535,12.38,26.44,1.19,0.599,74.845,,,0.0,0.0,,0.0,0.0,,,,,1.005,0.5117,0.355,0.23,0.415,0.005,,,,0.1695,0.035,0.875,0.0746,,40.0,5.11,245.7865,0.0,0.0,0.0,0.0,0.0,0.0,1.0492750000000002,0.0,227.33664999999996,0.0,12.974350000000001,0.0,1.6978750000000002,0.0,2.72835,178.92430000000002,0.0,1.6438250000000003,169.20235000000002,8.078125,0.0,750.28215,706.1632500000001,44.1189,0.0,0.0,0.0,0.0,0.0,0.0,4.19/1.00/1.37,,8606.5971,397.525,247.48,406.885,2856.64,1071.065,317.24,285.465,329.1621,376.135,43.24,298.95,596.685,215.065,381.98,207.56,198.49,321.53,55.5,,
A0320301,穀物類,中筋麵粉,前處理描述:混合均勻,,,361.0283,357.1774,12.635,11.4535,1.31,0.2763,0.5043,74.0972,1.8165,,,,,,,,3.65,124.835,11.67,28.77,0.915,0.6825,75.86,,,0.0,0.0,,0.0,0.0,,,,,0.845,0.349,0.225,0.155,0.465,0.0,,,,0.123,0.075,1.01,0.0818,,43.8,5.08,276.26066,0.0,0.0,0.0,0.0,0.0,0.0,1.22747,0.0,251.07591000000002,0.0,15.389880000000002,0.0,2.00037,3.4073100000000003,3.1597200000000005,211.36588,0.0,1.67287,200.27804,9.41497,0.0,822.3656000000001,777.21907,45.14653,0.0,0.0,0.0,0.0,0.0,0.0,3.89/1.00/1.31,,13036.8373,509.97,335.34,579.78,4576.1,1690.73,452.835,383.64,441.7523,525.205,148.96,455.74,897.835,389.02,625.91,267.37,282.335,474.315,0.0,,
